Section,Field,Value,
,Helmet Reminder / Rules,,
Lock Codes,Purple Ribbon ,1223,Posted on refrigerator
,Pink Ribbon,5641,
,Blue Ribbon ,6364,
,Yellow Ribbon,6265,
,,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",2 vehicles max (strict); no parking on grass. Cleaning closet code PLAY is not for guest use.,
,Noise / Quiet Hours,10pm–6am,
,Smoking Policy,"No smoking inside; if smoking outside, butts must be disposed properly or $50 charge",
,Other Restrictions,"May sleep 1 person on sofa; max occupancy 5. Shower stall only (no tub).


Late checkout fee: $50 per 15 minutes (if cleaners delayed). Lost & found shipping: shipping cost + $10 handling; items held 30 days",
,,,
MAINTENANCE / OPS,Owner Notes / Special Handling,"Bike lock codes posted on refrigerator (also listed here), lawn care may visit briefly to maintain grass",
,,,
,,,
TRASH,Trash Pickup Days / Season Notes,Tuesdays & Fridays (early morning),
,Trash Instructions / Location,Take trash can out the night before pickup (Monday & Thursday nights),
,,,
CHECK-OUT GUIDE,Check-Out Time,10:00 AM,
,Check-Out Text Message Instruction,Check-out guide on refrigerator + in Airbnb: start dishwasher + take trash to outside can; do NOT strip beds,
,Check-Out Text Number,,
,Linens Instructions,"Do not strip beds. If using couch for sleeping, guest must bring own linens/blanket/pillow (not provided)",
,Towels Instructions,Place towels in front of washing machine,
,Dishes Instructions,Start dishwasher (per posted checkout guide),
,Other Check-Out Notes,Trash can out night before pickup days. Late checkout fee: $50 per 15 minutes if cleaners delayed,
,,,
FILES / LINKS,House Manual / SOP Link,,
,Photo Folder Link,,
,"Other Important Links (thermostat video, rentals, etc.)",Emergency-only key doc: https://drive.google.com/file/d/1zLKDCw6z0oxTj82beIiAq5rLq7fOs5qX/view?usp=sharing,
,,,
NOTES,Misc Notes / Edge Cases,"Wifi equipment in front bedroom. Smart TVs in living room and both bedrooms. Charcoal park-style grill; utensils in cabinet under microwave. Circuit breaker in back bedroom. Two king beds; may sleep one on sofa; max occupancy 5. Shower stall only (no tub). Bikes on east side of house; lock codes posted on refrigerator. Beach gear (4 chairs, umbrella+spike, small cooler) in back bedroom closet. 4 bikes. Parking: 2 vehicles strict; no parking on grass. No outdoor shower; foot wash station available.",
,,Shower stall only (no tub). Smart TVs (streaming only). WiFi equipment in front bedroom. Circuit breaker in back bedroom. No outdoor shower. Foot wash station available. Beach gear in back bedroom closet. Bike lock codes posted on refrigerator. Parking: 2 vehicles strict; no grass parking,
