Section,Field,Value,
MAINTENANCE / OPS,Shed Key Location,Shed key hanging on hook on side of washer/dryer (side of washer & dryer),
,Other Key Locations,Hidden key behind tide clock on outside of outdoor shower (around back) — works for back door. Shed keys hanging on side of dryer.,
,Owner Notes / Special Handling,Circuit breaker in kitchen above stove. WiFi modem beside/behind full sofa.,
,,,
,,,
TRASH,Trash Pickup Days / Season Notes,,
,Trash Instructions / Location,Trash goes to outside can (per checkout guide),
,,,
CHECK-OUT GUIDE,Check-Out Time,,
,Check-Out Text Message Instruction,,
,Check-Out Text Number,,
,Linens Instructions,Start the first load of linens (per checkout guide on refrigerator),
,Towels Instructions,,
,Dishes Instructions,,
,Thermostat Setpoint on Departure,,
,Remote Controls Instructions,,
,Windows/Doors/Lights Instructions,,
,Other Check-Out Notes,,
,,,
FILES / LINKS,House Manual / SOP Link,https://docs.google.com/document/d/1iLqg5V1d8hNaKgkMxuIxl5vRc7pWH0eHRCMAf_5Y76o/edit?usp=sharing,
,Photo Folder Link,,
,"Other Important Links (thermostat video, rentals, etc.)",,
,,,
NOTES,Misc Notes / Edge Cases,"Entry code 0409. Hidden key is around back on outdoor shower: key hangs behind “tide clock” on outside of outdoor shower; works for back door. Outdoor foot rinse shower to left of entry door. Pets yes up to 2; more with Katie approval; $25/night per pet. Charcoal grill in shed; charcoal not provided. Shed keys: hanging on side of dryer; also noted on hook on side of washer/dryer. 4 bikes in shed. Beach equipment in shed includes chairs, small cooler, umbrella with spike. Circuit breaker in kitchen above stove. WiFi modem beside/behind full sofa. Smart TVs in living room and both bedrooms. Keurig coffee maker. No dishwasher. Parking up to 3–4 vehicles.",Cottage is across from Avalon Fishing Pier area; guests may hear traffic sometimes. Kayaks & SUPs mentioned as free use but require transport (pickup about a mile away). Hurricane season June–Nov: no refunds for weather events per listing notes.
