Section,Field,Value
,Grill Type (charcoal/gas/none/shared),charcoal grill (charcoal is not provided)
,Grill Location,Outside picnic table area with a charcoal grill (charcoal is not provided)
,"Special Outdoor Notes (trails, etc.)",Ping pong area / ping pong table
,Special Amenities,"Ping pong, rope swing"
,Paddle Boards,Paddle boards must be left strapped in place on strap mount on the right side of the house with paddles strapped in also. Be very mindful not to drag the boards over concrete or grass as they can easily scratch or get punctured. If the boards are not left appropriately in mount or if they are found to be damaged you will be charged $300 per board. 
,,
BEACH GEAR,Beach Chairs (count),4
,Umbrellas (count + spike?),1 umbrella
,Coolers (count/size),1 small cooler
,Where Beach Gear Is Stored,Not specified
,,
BIKES ,Bikes Provided? (Yes/No),Yes
,Bike Count,4
,Bike Location / Storage,
,Shared Bikes? (Yes/No + notes),No
LOCKS,Bike Lock Codes ,
,,
HOUSE RULES,Noise / Quiet Hours,10PM to 7AM
,Smoking Policy,"No smoking in the house, this includes pot & vaporizers. If you smoke on the patio please make sure doors & windows are closed & do not ash on the floor. Dispose of your butts properly. If the homes smells of any kind of smoke or there are cigarette butts left, there will be a $250 fee"
,Other Restrictions,"pet fee is $25 PER PET PER night. Please be sure your reservation accurately reflects your pet count. A 2nd pet can be considered with additional fee, you must reach out PRIOR to booking for approval. If you bring any pets not listed on your reservation, you will be charged via the Airbnb Resolution Center the pet fees plus an extra $15. 

STRICT: Absolutely no pets allowed on any furniture.

Excessive cleaning fee of $250 will be charged if there is evidence of a pet on sofas or beds, or if there is an excessive amount of animal hair. Please use the vacuum and sweep regularly throughout your stay.

If you would like to bring your own linens, pillows, and blankets, you may allow your pet on the beds, but you must let us know the night prior to arrival. We will not provide linens or blankets for your stay.

Pick up any animal waste in the yard, secure it properly in a bag, and place it in the outdoor trash can. Your dog should not ever be unleashed outside.

Do not use dishes or utensils for feeding your pet. Please bring your own.

"
,,
MAINTENANCE / OPS,Owner Notes / Special Handling,Mini split reset instructions are important; do not mix heat/AC modes across zones
,,
,,
TRASH,Trash Pickup Days / Season Notes,Monday & Thursday nights for very early morning pick up the next day
,Trash Instructions / Location,Please take the trash can to the road
,,
,,
Important Links,Property Guide,https://docs.google.com/document/d/1fh-T3vUr-njfzqD63m-JNXHwoYKli5thV1rWwkJxqQ4/edit?usp=sharing
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",
LOST & FOUND ,Process and fees,The cost of shipping + $10 (handling fee.) Items will be held for 30 days in the lost and found.
NOTES,Misc Notes / Edge Cases,WiFi modem located in bedroom with wood slat wall under end table by circuit breaker (Silicon Travel). Dishwasher pod can be tossed in bottom due to soap holder not closing. Ping pong table present. Mini split reset steps included.
