Section,Field,Value
,Bike Location / Storage,Shared bikes on-site (exact location not specified)
,Shared Bikes? (Yes/No + notes),Yes (shared with other guests)
,Helmet Reminder / Rules,Bring helmet
,Bike Lock Codes (paste all codes here; one per line),
,,
HOUSE RULES,"Key House Rules (no backyard, no grill, etc.)",Pets allowed with fee. 1 vehicle only—park LEFT of garage. No oven/stove. Wifi modem not accessible to guests.
HOUSE RULES,Noise / Quiet Hours,
HOUSE RULES,Smoking Policy,
HOUSE RULES,Other Restrictions,"Bathroom is shared with EAST UNIT.


Shared indoor bathroom just inside home (1–2 steps); shower reserved exclusively for guests though toilet may be occasionally used by family; draperies hung for privacy; metal roof over space; exterior-only cameras; hurricane season June–Nov and no refunds for weather (trip insurance encouraged)"
,,
MAINTENANCE / OPS,Shed Key Location,EMERGENCY ONLY key labeled “SOUTH UNIT” (return immediately)
,Other Key Locations,
,Owner Notes / Special Handling,
,,
,,
TRASH,Trash Pickup Days / Season Notes,
,Trash Instructions / Location,Dispose trash + pet waste (bagged) in outside property trash can
,,
CHECK-OUT GUIDE,Check-Out Time,10:00 AM
,Check-Out Text Message Instruction,
,Check-Out Text Number,
,Linens Instructions,Be respectful of linens; sunscreen/makeup can stain; pets not allowed in bed unless guest brings own sheets/blankets and messages host
,Towels Instructions,Be respectful of towels; bathroom is shared—keep personal items in your space
,Dishes Instructions,Wash and put away dishes using your sink in the passway (do not access host kitchen)
,Thermostat Setpoint on Departure,
,Remote Controls Instructions,Mini-split heating/cooling uses remote; Roku TV remote; DVD player available
,Windows/Doors/Lights Instructions,
,Other Check-Out Notes,Unapproved late checkout: $50 per 15 minutes; 
,lost & found ,held 30 days; ship items for shipping cost + $10 handling
,,
FILES / LINKS,House Manual / SOP Link,
,Photo Folder Link,
,,
NOTES,Misc Notes / Edge Cases,"Pets: $25/night per pet up to 2 pets; will consider 3. Pet fee can be sent via Venmo or Airbnb Resolution Center. Entry code: 123456 then press unlock. Efficiency style with full refrigerator/freezer; no oven/stove. Large smart TV. Wifi modem not accessible to guests. Beach gear: 2 chairs, 2 beach towels, umbrella/spike. Circuit breaker behind world map tapestry. Shower only, no tub; bathroom shared with EAST UNIT. 6 shared bikes (bring helmet). Backyard shared space with shared outdoor shower. 1 vehicle strictpark in driveway to LEFT of garage. Charcoal grill shared with all guests in backyard. Bathroom immediately inside home on the right."
