Section,Field,Value
,Thermostat Location,Upstairs (controls downstairs)
,Who Controls Thermostat (guest/upstairs/downstairs),Upstairs thermostat controls DOWNstairs unit (downstairs guests do not have temp control)
,,
TV / STREAMING,TV Locations (LR/BRs/etc.),Living room and bedroom
,Smart TVs? (Yes/No),Yes
,,
KITCHEN / APPLIANCES,Stove/Oven (Yes/No),
,Dishwasher (Yes/No),
,"Dishwasher Notes (pods, latch issues, etc.)",
,Ice Maker / Water Dispenser (Working? notes),
,Garbage Disposal (Yes/No + switch location),
,Coffee Maker(s) (Keurig/drip/etc.),
,Other Appliance Notes,
,,
OUTDOOR / AMENITIES,Outdoor Shower (Yes/No + hot/cold/shared),Outdoor shower is shared (up and down)
,Backyard Access (Upstairs only / Downstairs only / Shared),Backyard ONLY for downstairs guests
,Porches/Patios (Shared? notes),PATIO WITH SEATING & LIGHTING
,Grill Type (charcoal/gas/none/shared),Charcoal
,Grill Location,"The backyard is probably the largest in the entire neighborhood, private, fenced in, with a charcoal grill (you provide charcoal, grill utensils provided) and lighted patio + hammock! "
,Charcoal/Propane Provided? (Yes/No),"No , bring your own"
,"Special Outdoor Notes (trails, etc.)",Outdoor shower shared; backyard reserved for downstairs guests only
,,
BEACH GEAR,Beach Towels (count),2
,Where Beach Gear Is Stored,In garage (beach chairs stored in garage)
,,
BIKES ,Bikes Provided? (Yes/No),Yes (Cruiser bikes + locks provided)
,Bike Count,4
,Bike Location / Storage,In garage
,Shared Bikes? (Yes/No + notes),For downstairs guest use (bikes in garage)
LOCKS,Yellow,3113
,Blue,1632
,White ,3653
,Red ,5526
,,
HOUSE RULES,Noise / Quiet Hours,
HOUSE RULES,Smoking Policy,"No smoking inside home. If you smoke outside please dispose of butts 
properly. If butts or any sign of smoking there will be a $150 charge. Our neighbors do keep an eye out for the property."
HOUSE RULES,Other Restrictions,10:00 PM - 7:00 AM Please be mindful of noise as there is an Upstairs Airbnb.
,,
MAINTENANCE / OPS,Other Key Locations,Hidden/emergency key under heat pump on nail (right side; beyond outside shower). Works for back door.
,Owner Notes / Special Handling,Checkout guide on refrigerator in garage. Circuit breaker in downstairs unit. Upstairs has no breaker access. Thermostat upstairs controls downstairs.
,,
CONTACTS,Management Contact / Platform,Katie / management (approval needed for 2-pet discount wording per notes)
,,
TRASH,Trash Pickup Days / Season Notes,Monday and Thursday
TRASH,Trash Instructions / Location,Trash must be taken to road nights prior to pickup
,,
CHECK-OUT GUIDE,Check-Out Text Message Instruction,Checkout guide posted on refrigerator in garage
,Other Check-Out Notes,Checkout guide is on refrigerator in garage (no copy provided here)
,,
FILES / LINKS,Property Guide,https://docs.google.com/document/d/1B663eRyVdFyIny1Db8zFS1FqhcO409PCrgqJqXSrs0c/edit?usp=sharing
,Photo Folder Link,
,"Other Important Links (thermostat video, rentals, etc.)",
LOST & FOUND ,Process and fees,The cost of shipping + $10 (handling fee.) Items will be held for 30 days in the lost and found.
NOTES,Misc Notes / Edge Cases,Outdoor shower is shared. Backyard ONLY for downstairs guests. WiFi modem is upstairs (Silicon Travel) and not accessible to downstairs guests.
